confidence,lyric_title,db_title,db_id,creator_composer,year,first_words,lyric_preview,decision,notes
0.733,"Μάγκικο μελαχρινό(Νόστιμο τρελό μικρό μου)","Νέο μελαχρινό",4581,"Άγνωστος","","","Κάνω τη τσάρκα μου περνώ","",""
0.732,"Με μια μονάχα σου ματιά","Τα μαύρα σου μάτια",5187,"[
Falvo Rodolfo
]","","","Με μια μονάχα σου ματιά","",""
0.732,"Ο μαντρατζής(Ο ύμνος των Βοσκών)","Ο ύμνος των Παλαιολόγων",3190,"Άγνωστος","1917","Πολλά τα έτη των βασιλέων","Οπα μου ’πεψε με το μαντρατζή σημείωμα στα όρη","",""
0.731,"Χτες το βράδυ στον τεκέ μας","Χτες το βράδυ ονειρεύτηκα",1459,"Γιαννίδης Κώστας","1946","Χτες το βράδυ ονειρεύτηκα πως ήσουνα κοντά μου","Χτες το βράδυ στον τεκέ μας","",""
0.727,"Έτσι σε θέλω","Εσένα θέλω",9514,"Βαϊνδιρλής Παναγιώτης","","","Έτσι σε θέλω μάτια μου","",""
0.727,"Ο κουμπάρος ο ψαράς","Ο μικρός ψαράς",2116,"Σμυρναίος Άκης","1957","Στη βάρκα σου θα 'ρθω ψαρά
και πάμε στα βαθιά νερά","Έρχουμαι κρυφά στη μάντρα,","",""
0.722,"Με γελάσαν τα πουλιά","Κλώσσα τα πουλιά",3039,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος","1981","Κλώσσα τα πουλιά, κλώσσα τα πουλιά
κλώσσα τα πουλιά δεν τα 'βγαλες σωστά","Με γελάσανε τα πουλιά ","",""
0.720,"Ο γιατρός χτυπάει την πόρτα","Άνοιξε γιατρέ την πόρτα",49,"Βέλλας Γιάννης
,
Ιακωβίδης Ζακ","1957","Περνάει ο ήλιος μια στιγμή στου κάγκελου την άκρη","Ο γιατρός, ο γιατρός χτυπάει την πόρτα,","",""
0.720,"Πες το ναι","Πες μου ένα ναι",1737,"Κωνσταντινίδης Γρηγόρης","1935","Ήτανε μικρούλα και μελαχρινούλα","Μη μου λες το όχι πάντα,","",""
0.720,"Τα δυο σου χέρια πήρανε(Βεργούλες)","Στα δυο μου χέρια τ' άρματα",4133,"Άγνωστος","","","Τα δυο σου χέρια πήρανε βεργούλες και με δείρανε,","",""
0.718,"Μα τι να κάνω σ’ αγαπώ","Γιατί να σ' αγαπώ",2660,"Χατζηαποστόλου Νίκος","","Γιατί γιατί ν' αναστενάζω και να ησυχάσω δεν μπορώ","Συ με  ’κανες να περπατώ και να παραμιλάω, ","",""
0.718,"Ο πολυτεχνίτης(Ο Μάρκος πολυτεχνίτης)","Ο Μάρκος Μπότσαρης",5493,"Άγνωστος","","","Όλες τις τέχνες που ’κανα ακούστε που τις λέω","",""
0.714,"Απόψε μες στο καπηλειό","Λάμπει μες στο γιαλό",11150,"[
Cottrau Teodoro
]","","","Απόψε μες στο καπηλειό","",""
0.714,"Νόστιμη μαυροματού","Μαυροματού",11119,"Τσάμας Μ.
[
Μάτσας Μίνως
]","","","Έλα μάτια μου και φως μου μη μου κάνεις τσαχπινιές,","",""
0.714,"Πάμε στο Φάληρο","Πάμε στο νησί",9661,"Βαϊνδιρλής Παναγιώτης","","","Πάμε στο Φάληρο, έϊβαλα,","",""
0.714,"Στης νύχτας το σκοτάδι(Η επιπόλαιη)","Σερενάτα στο σκοτάδι",1338,"Κορολόγος Γεώργιος","1947","Ας σβηστούν απόψε τ' άστρα
και για φως στη συννεφιά","Σε λάτρευα και νόμιζα και συ πως μ’ αγαπούσες,","",""
0.710,"Ζαχαρένιο χανουμάκι","Το χανουμάκι",11167,"Άγνωστος","","","Εταξίδευα Συρία","",""
0.710,"Θα σε περιμένω απόψε(Ρεμπέτες)","Θα περιμένω",2007,"Ραπίτης Λεό","1938","Μην το φαντάζεσαι πως όνειρο θα μοιάζεις","Θα σε περιμένω απόψε, να με βρεις στις Τζιτζιφιές,","",""
0.710,"Μόρτισσα χασικλού","Μόρτισσα κακιά",10405,"Τούντας Παναγιώτης","","","Μόρτισσα που γεννήθηκες, μέσα, μέσ’ τους τεκέδες","",""
0.710,"Πιά δε με γελάς","Σαν δε με θέλεις",4806,"Κατσαρός
(Θεολογίτης)
Γιώργος","","","Μη με σταματάς στο δρόμο, μη μου λες ότι μπορείς","",""
0.708,"Μια νύχτα κάτω στο Πασαλιμάνι","Μέσα στο Πασαλιμάνι",4300,"Σκαρβέλης Κώστας","","","Μια νύχτα κάτω στο Πασαλιμάνι,","",""
0.706,"Θα ’ρθω μια γλυκιά βραδιά","Άνοιξις - Τι γλυκιά βραδιά",1725,"Κωνσταντινίδης Γρηγόρης","","Αν ρίξει στο δείλι τ' Απρίλη ο έρωτας δυο σαϊτιές","Θα ’ρθω μια γλυκιά βραδιά, μια χιονισμένη νύχτα,","",""
0.706,"Μάγκισσα(Ντυμένη σαν αρχόντισσα)","Η αρχόντισσα",2584,"Τσιτσάνης Βασίλης","","Κουράστηκα για να σε αποκτήσω
αρχόντισσα μου μάγισσα τρελή","Μ’ αρέσει να ’σαι μάγκισσα","",""
0.706,"Ο Νίκος ο Τρελάκιας","Ο Νίκος Βραχνάς",3911,"","","","Τον ξέρετε, μωρέ παιδιά, τον Νίκο τον τρελάκια, ","",""
0.703,"Ένας αλήτης πέθανε","Ένας αετός καθότανε",5140,"Άγνωστος","","","Ένας αλήτης πέθανε στου πάρκου την πλατεία","",""
0.703,"Μαλαματένια λόγια","Κόρη μαλαματένια μου",2983,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος","1981","Κόρη μαλά-, κόρη μαλαματένια μου
κόρη μαλαματένια μου και μαργαριταρένια μου","Μαλαματένια λόγια στο μαντήλι","",""
0.700,"Ξαβεριώτισσα(Θέλω να σ’ ανταμώσω)","Θέλω να σ' αλησμονήσω",4290,"Άγνωστος","","","Μαραίνεται η καρδούλα μου","",""
0.700,"Τα σιγανά ποτάμια","Τα τσιγγάνικά σου μάτια",11307,"Περδικόπουλος Δημήτρης","","","Ας ήτανε τη μοίρα μου για λίγο να γελούσα","",""
0.700,"Της αγάπης ο ζητιάνος","Της αγάπης τα φιλιά",5405,"Νάλτσας Θέμης","","","Μονάχος μες στην καταχνιά, σαν το στοιχειό στην ερημιά","",""
