lyric_title,matched_db_title,confidence,creator_composer,match_source,decision,notes
Χτες το βράδυ στον τεκέ μας,Χτες το βράδυ ονειρεύτηκα,0.731,Γιαννίδης Κώστας,main,,
Έτσι σε θέλω,Εσένα θέλω,0.727,Βαϊνδιρλής Παναγιώτης,main,,
Ο κουμπάρος ο ψαράς,Ο μικρός ψαράς,0.727,Σμυρναίος Άκης,main,,
Με γελάσαν τα πουλιά,Κλώσσα τα πουλιά,0.722,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος",main,,
Ο γιατρός χτυπάει την πόρτα,Άνοιξε γιατρέ την πόρτα,0.72,"Βέλλας Γιάννης
,
Ιακωβίδης Ζακ",main,,
Πες το ναι,Πες μου ένα ναι,0.72,Κωνσταντινίδης Γρηγόρης,main,,
Τα δυο σου χέρια πήρανε(Βεργούλες),Στα δυο μου χέρια τ' άρματα,0.72,Άγνωστος,main,,
Μα τι να κάνω σ’ αγαπώ,Γιατί να σ' αγαπώ,0.718,Χατζηαποστόλου Νίκος,main,,
Ο πολυτεχνίτης(Ο Μάρκος πολυτεχνίτης),Ο Μάρκος Μπότσαρης,0.718,Άγνωστος,subtitle,,
Απόψε μες στο καπηλειό,Λάμπει μες στο γιαλό,0.714,"[
Cottrau Teodoro
]",main,,
Νόστιμη μαυροματού,Μαυροματού,0.714,"Τσάμας Μ.
[
Μάτσας Μίνως
]",main,,
Πάμε στο Φάληρο,Πάμε στο νησί,0.714,Βαϊνδιρλής Παναγιώτης,main,,
Στης νύχτας το σκοτάδι(Η επιπόλαιη),Σερενάτα στο σκοτάδι,0.714,Κορολόγος Γεώργιος,main,,
Ζαχαρένιο χανουμάκι,Το χανουμάκι,0.71,Άγνωστος,main,,
Θα σε περιμένω απόψε(Ρεμπέτες),Θα περιμένω,0.71,Ραπίτης Λεό,main,,
Μόρτισσα χασικλού,Μόρτισσα κακιά,0.71,Τούντας Παναγιώτης,main,,
Πιά δε με γελάς,Σαν δε με θέλεις,0.71,"Κατσαρός
(Θεολογίτης)
Γιώργος",main,,
Μια νύχτα κάτω στο Πασαλιμάνι,Μέσα στο Πασαλιμάνι,0.708,Σκαρβέλης Κώστας,main,,
Θα ’ρθω μια γλυκιά βραδιά,Άνοιξις - Τι γλυκιά βραδιά,0.706,Κωνσταντινίδης Γρηγόρης,main,,
Μάγκισσα(Ντυμένη σαν αρχόντισσα),Η αρχόντισσα,0.706,Τσιτσάνης Βασίλης,subtitle,,
Ο Νίκος ο Τρελάκιας,Ο Νίκος Βραχνάς,0.706,,main,,
Ένας αλήτης πέθανε,Ένας αετός καθότανε,0.703,Άγνωστος,main,,
Μαλαματένια λόγια,Κόρη μαλαματένια μου,0.703,"Μεταγραφή:
Θεοφιλόπουλος Γιώργος",main,,
Ξαβεριώτισσα(Θέλω να σ’ ανταμώσω),Θέλω να σ' αλησμονήσω,0.7,Άγνωστος,subtitle,,
Τα σιγανά ποτάμια,Τα τσιγγάνικά σου μάτια,0.7,Περδικόπουλος Δημήτρης,main,,
Της αγάπης ο ζητιάνος,Της αγάπης τα φιλιά,0.7,Νάλτσας Θέμης,main,,
